Code,UNRegion,IncomeGroup,Region,Continent
ABW,Latin America & Caribbean,High income,,
AFE,,,,
AFG,South Asia,Low income,,
AFW,,,,
AGO,Sub-Saharan Africa,Lower middle income,Central Africa,Africa
ALB,Europe & Central Asia,Upper middle income,,
AND,Europe & Central Asia,High income,,
ARB,,,,
ARE,Middle East & North Africa,High income,Middle East,Asia
ARG,Latin America & Caribbean,Upper middle income,,
ARM,Europe & Central Asia,Upper middle income,,
ASM,East Asia & Pacific,High income,,
ATG,Latin America & Caribbean,High income,,
AUS,East Asia & Pacific,High income,,
AUT,Europe & Central Asia,High income,,
AZE,Europe & Central Asia,Upper middle income,,
BDI,Sub-Saharan Africa,Low income,Eastern Africa,Africa
BEL,Europe & Central Asia,High income,,
BEN,Sub-Saharan Africa,Lower middle income,West Africa,Africa
BFA,Sub-Saharan Africa,Low income,West Africa,Africa
BGD,South Asia,Lower middle income,,
BGR,Europe & Central Asia,Upper middle income,,
BHR,Middle East & North Africa,High income,Middle East,Asia
BHS,Latin America & Caribbean,High income,,
BIH,Europe & Central Asia,Upper middle income,,
BLR,Europe & Central Asia,Upper middle income,,
BLZ,Latin America & Caribbean,Upper middle income,,
BMU,North America,High income,,
BOL,Latin America & Caribbean,Lower middle income,,
BRA,Latin America & Caribbean,Upper middle income,,
BRB,Latin America & Caribbean,High income,,
BRN,East Asia & Pacific,High income,,
BTN,South Asia,Lower middle income,,
BWA,Sub-Saharan Africa,Upper middle income,Southern Africa,Africa
CAF,Sub-Saharan Africa,Low income,Central Africa,Africa
CAN,North America,High income,,
CEB,,,,
CHE,Europe & Central Asia,High income,,
CHI,Europe & Central Asia,High income,,
CHL,Latin America & Caribbean,High income,,
CHN,East Asia & Pacific,Upper middle income,,
CIV,Sub-Saharan Africa,Lower middle income,West Africa,Africa
CMR,Sub-Saharan Africa,Lower middle income,Central Africa,Africa
COD,Sub-Saharan Africa,Low income,Central Africa,Africa
COG,Sub-Saharan Africa,Lower middle income,Central Africa,Africa
COL,Latin America & Caribbean,Upper middle income,,
COM,Sub-Saharan Africa,Lower middle income,Southern Africa,Africa
CPV,Sub-Saharan Africa,Lower middle income,West Africa,Africa
CRI,Latin America & Caribbean,Upper middle income,,
CSS,,,,
CUB,Latin America & Caribbean,Upper middle income,,
CUW,Latin America & Caribbean,High income,,
CYM,Latin America & Caribbean,High income,,
CYP,Europe & Central Asia,High income,,
CZE,Europe & Central Asia,High income,,
DEU,Europe & Central Asia,High income,,
DJI,Middle East & North Africa,Lower middle income,Eastern Africa,Africa
DMA,Latin America & Caribbean,Upper middle income,,
DNK,Europe & Central Asia,High income,,
DOM,Latin America & Caribbean,Upper middle income,,
DZA,Middle East & North Africa,Lower middle income,North Africa,Africa
EAP,,,,
EAR,,,,
EAS,,,,
ECA,,,,
ECS,,,,
ECU,Latin America & Caribbean,Upper middle income,,
EGY,Middle East & North Africa,Lower middle income,North Africa,Africa
EMU,,,,
ERI,Sub-Saharan Africa,Low income,Eastern Africa,Africa
ESP,Europe & Central Asia,High income,,
EST,Europe & Central Asia,High income,,
ETH,Sub-Saharan Africa,Low income,Eastern Africa,Africa
EUU,,,,
FCS,,,,
FIN,Europe & Central Asia,High income,,
FJI,East Asia & Pacific,Upper middle income,,
FRA,Europe & Central Asia,High income,,
FRO,Europe & Central Asia,High income,,
FSM,East Asia & Pacific,Lower middle income,,
GAB,Sub-Saharan Africa,Upper middle income,Central Africa,Africa
GBR,Europe & Central Asia,High income,,
GEO,Europe & Central Asia,Upper middle income,,
GHA,Sub-Saharan Africa,Lower middle income,West Africa,Africa
GIB,Europe & Central Asia,High income,,
GIN,Sub-Saharan Africa,Lower middle income,West Africa,Africa
GMB,Sub-Saharan Africa,Low income,West Africa,Africa
GNB,Sub-Saharan Africa,Low income,West Africa,Africa
GNQ,Sub-Saharan Africa,Upper middle income,Central Africa,Africa
GRC,Europe & Central Asia,High income,,
GRD,Latin America & Caribbean,Upper middle income,,
GRL,Europe & Central Asia,High income,,
GTM,Latin America & Caribbean,Upper middle income,,
GUM,East Asia & Pacific,High income,,
GUY,Latin America & Caribbean,High income,,
HIC,,,,
HKG,East Asia & Pacific,High income,,
HND,Latin America & Caribbean,Lower middle income,,
HPC,,,,
HRV,Europe & Central Asia,High income,,
HTI,Latin America & Caribbean,Lower middle income,,
HUN,Europe & Central Asia,High income,,
IBD,,,,
IBT,,,,
IDA,,,,
IDB,,,,
